"",,,,,,,,,,
Queen Mary University of London,Simon Gaskell~,"275,000",,"10,000",,"285,000",0.4,"5,783",1.9,"290,783"
Queen’s University Belfast,Patrick Johnston^,"236,000",,,,"236,000",,"59,000",,"295,000"
"",James McElnay (from 16 June 17),"25,000",,,,"25,000",,"7,000",,"32,000"
"",Queen’s total,"261,000",,,,"261,000",1.2,"66,000",1.9,"327,000"
Ravensbourne,Linda Drew,"140,425",,,,"140,425",−8.5,"23,142",−8.3,"163,567"
University of Reading,Sir David Bell,"260,383",,,,"260,383",1.1,"46,869",2.3,"307,252"
Regent’s University London,Aldwyn Cooper,"254,000",,,,"254,000",6.3,"25,000",5.7,"279,000"
Robert Gordon University,Ferdinand von Prondzynski,"235,742",,"2,490",,"238,232",3.0,"40,204",3.0,"278,436"
University of Roehampton,Paul O’Prey,"262,000",,"3,000",,"265,000",0.4,"47,000",2.3,"312,000"
Rose Bruford College,Michael Earley,"149,890",,"3,189",,"153,079",3.2,"24,702",3.3,"177,781"
Royal Academy of Music,Jonathan Freeman-Attwood,"210,721",,,,"210,721",17.9,"4,025",4.2,"214,746"
Royal Agricultural University,Chris Gaskell,"14,167",,,,"14,167",,,,"14,167"
"",Joanna Price (from 1 Sept 16),"140,426",,"16,500",,"156,926",,"16,873",,"173,799"
"",Royal Agricultural total,"154,593",,"16,500",,"171,093",−4.0,"16,873",5.5,"187,966"
Royal Central School of Speech and Drama,Gavin Henderson,"176,727",,"2,288",,"179,015",1.3A,"lowanc2e9 i,n1 25",1.4,"208,140"
Royal College of Art,Paul Thompson,"225,000",,,,"225,000",3.6li,"u of pe5n0s,4io2n7",4.4,"275,427"
Royal College of Music,Colin Lawson,"237,518",,"1,374",,"238,892",4.1,"4,326",5.3,"243,218"
Royal Conservatoire of Scotland,Jeffrey Sharkey,"138,000",,"3,000",,"141,000",1.4,"24,000",1.9,"165,000"
"Royal Holloway, University of London",Paul Layzell,"301,000",,"6,000",,"307,000",0.7T,"tal exclu6d,0in0g0",2.0,"313,000"
Royal Northern College of Music,Linda Merrick,"137,000",,"2,000",,"139,000",6.1p,"nsion 22,000",5.9,"161,000"
Royal Veterinary College,Stuart Reid,"307,420",,,,"307,420",8.6,"46,637",8.7,"354,057"
University of St Andrews,Garry Taylor**,"11,000",,,,"11,000",,,,"11,000"
"",Sally Mapstone (from 1 Dec 16),"220,000",,,,"220,000",,"chang3e0 i,n0 00",,"250,000"
"",St Andrews total,"231,000",,,,"231,000",13.8t,"tal sal3ar0y, 000",18.1,"261,000"
"St George’s, University of London",Jenny Higham8,"276,000",,,,"276,000",14.5s,nce 2015-16,7.0,"276,000"
"St Mary’s University, Twickenham",Francis Campbell,"169,000",,"1,000",,"170,000",0.6,"25,000",1.0,"195,000"
University of Salford,Helen Marshall,"204,000","10,000","3,000",,"217,000",5.9,,5.9,"217,000"
University of Sheffield,Sir Keith Burnett,"389,289","33,999","3,301",,"426,589",0.9P,nsion,0.9,"426,589"
Sheffield Hallam University,Chris Husbands9,"240,000",,"18,000",,"258,000",−22.52,"16-174 (0£,0)00",−16.3,"298,000"
"",,,,,,,,,,
"Soas, University of London",Baroness Amos,"229,967",,,,"229,967",3.0,"41,394",4.1,"271,361"
University of South Wales,Julie Lydon,"225,000",,"3,000",,"228,000",1.3,,1.3,"228,000"
University of Southampton,Sir Christopher Snowden,"423,000",,"1,000",,"424,000",−38.3,"9,000",−37.9,"433,000"
Southampton Solent University,Graham Baldwin,"213,514","10,560",,,"224,074",1.6,"35,187",1.7,"259,261"
SRUC (Scotland’s Rural College)*,Janet Swadling**,"48,000",,,,"48,000",,"9,000",,"57,000"
"",Wayne Powell (from 1 July 16),"152,000",,,,"152,000",,"25,000",,"177,000"
"",SRUC total,"200,000",,,,"200,000",5.3,"34,000",4.5,"234,000"
Staffordshire University,Liz Barnes,"198,000",,"3,000",,"201,000",−2.0,"32,000",8.4,"233,000"
University of Stirling,Gerard McCormac,"269,000",,"1,000",,"270,000",0.7,"6,000",2.2,"276,000"
University of Strathclyde,Jim McDonald,"299,000",,"13,000","54,000","366,000",1.7,,1.7,"366,000"
University of Suffolk,Richard Lister,"144,000","40,000",,,"184,000",22.7,"3,000",11.3,"187,000"
University of Sunderland,Shirley Atkinson,"202,000",,"5,000",,"207,000",1.5,"32,000",2.1,"239,000"
University of Surrey,Max Lu,"310,000","5,000","2,000","49,000","366,000",29.3,,20.0,"366,000"
University of Sussex,Michael Farthing10,"249,000",,,,"249,000",,"3,000",,"252,000"
"",Adam Tickell (from 1 Sep 16),"267,000",,"17,000",,"284,000",,"9,000",,"293,000"
"",Sussex total,"516,000",,"17,000",,"533,000",109.8,"12,000",84.7,"545,000"
Swansea University,Richard Davies,"247,000",,"7,000",,"254,000",1.2,,1.2,"254,000"
Teesside University,Paul Croney,"212,310","31,846","12,883",,"257,039",0.6,"34,989",0.8,"292,028"
Trinity Laban Conservatoire of Music and Dance,Anthony Bowne,"177,530",,,,"177,530",2.5,"29,257",2.7,"206,787"
UCL,Michael Arthur,"365,208",,996,,"366,204",1.0,"6,621",2.2,"372,825"
University of Ulster,Paddy Nixon,"260,000",,"4,000",,"264,000",4.3,"47,000",6.1,"311,000"
University of the Arts London,Nigel Carrington,"265,364",,121,,"265,485",2.1,,2.1,"265,485"
University College Birmingham,Ray Linforth,"245,000",,,,"245,000",0.8,,0.8,"245,000"
University for the Creative Arts,Simon Ofield-Kerr,"79,440",,,,"79,440",,"12,810",,"92,250"
"",Alan Cooke** (from 1 Jan 17),"52,515",,,,"52,515",,"asic sal9a,r8y7 5",,"62,390"
"",Bashir Makhoul (from 5 June 17),"16,827",,,,"16,827",,"016-172 (,£7)73",,"19,600"
"",UCA total,"148,782",,,,"148,782",−24.2,"25,458",−22.6,"174,240"
University of Wales Trinity St David,Medwin Hughes11,"223,000",,"14,000",,"237,000",2.2,"42,000",3.0,"279,000"
University of Warwick,Stuart Croft,"283,000",,"6,000","37,000","326,000",−25.7,"6,000",−25.9,"332,000"
University of West London,Peter John,"271,000",,"4,000",,"275,000",13.6,"elated 2p2a,y000",5.7,"297,000"
University of the West of Scotland,Craig Mahoney,"223,000","6,000",,"26,000","255,000",12.3,"7,000",−0.8,"262,000"
University of the West of England,Steve West,"254,120","25,412",637,,"280,169",1.1,"45,843",3.4,"326,012"
University of Westminster,Geoffrey Petts,"296,000",,,,"296,000",2.8,"5,000",3.8,"301,000"
University of Winchester,Joy Carter12,"254,313",,"6,976",,"261,289",4.8,"33,230",4.5,"294,519"
University of Wolverhampton,Geoff Layer,"271,000",,"6,000",,"277,000",1.8,"6,000",3.3,"283,000"
University of Worcester,David Green,"325,000",,,,"325,000",1.9,,1.9,"325,000"
Wrexham Glyndwr University,Maria Hinfelaar,"187,035",,,,"187,035",−43.9,"30,823",−36.6,"217,858"
Writtle University College,Stephen Waite,"134,000",,"2,000",,"136,000",11.5,,0.0,"136,000"
University of York,Koen Lamberts,"248,333",,945,,"249,278",2.9,"44,700",4.3,"293,978"
York St John University,Karen Stanton,"200,000",,,,"200,000",4.2,,4.2,"200,000"
